"main_category","sub_category","mean_ratings","sd_ratings","median_ratings","mode_ratings","mean_number_of_ratings","sd_number_of_ratings","median_number_of_ratings","mode_number_of_ratings","mean_discount_price","sd_discount_price","median_discount_price","mode_discount_price","mean_actual_price","sd_actual_price","median_actual_price","mode_actual_price","number_of_orders","total_revenue"
"tv, audio & cameras","Headphones",3.49852387407742,0.90037031097851,3.6,5,5126.22714264188,25893.205512516,24,5,2154.50488175931,5080.70459493451,749,499,3846.19654014158,6646.891589734,1999,999,34033022,78272047625.6
"tv, audio & cameras","Home Audio & Theater",3.68547008547009,0.800459453975949,3.6,3.4,312.25641025641,789.334520600196,29,3.4,10622.1935042735,20864.4782929609,3399,2099,14496.7657264957,27123.2664357259,5999,6000,36534,612444265.83
"tv, audio & cameras","Home Entertainment Systems",3.91526857983812,0.665048749750695,4,4,1995.82425803268,14973.3305840995,41,4,2649.01292003925,11111.4295580529,426.55,299,4940.86247731165,18332.4449204386,999,999,16273951,48402424817.32
"tv, audio & cameras","Security Cameras",3.32256267409471,1.09367478502281,3.4,5,358.717396809298,4628.00222059732,6,5,4989.1959103571,8400.8744441477,1999,1999,9100.06680425428,14198.271222164,4500,4999,1416575,7505252712.58
"tv, audio & cameras","Speakers",3.67562380038388,0.939996696440045,3.8,5,1652.03783931996,9269.63800442454,15,5,6074.50570880174,15622.8320386807,1277,499,8455.736216068,18696.0342729734,2499,999,6024982,36382985618.48
"tv, audio & cameras","Televisions",4.05009596928983,0.680444559434853,4.2,4.2,2488.85220729368,7337.88013634885,141,4.2,44356.8339923225,75261.6946105883,25589,8499,71045.8889827257,104259.767397884,42999,19999,1296692,37472388900.8
"women's clothing","Clothing",3.79544783743898,0.568638623886265,3.8,4,348.842206833949,1254.08741730065,52,4,592.543990237274,404.677886012714,499,499,1763.92589056646,1318.34977817,1452.5,999,6145902,3222749930.39
"women's clothing","Ethnic Wear",3.72710557907374,0.678623789819715,3.8,4,184.673532570905,753.172904951525,21,4,790.532373791625,572.925813120467,649,499,2487.59210779048,1749.33938173158,1999,1999,2922828,1722323660.11
"women's clothing","Lingerie & Nightwear",3.76231220977875,0.718480744996894,3.8,4,177.959983611053,1027.55564142627,16,4,510.167860557224,336.61665859704,439,499,1086.78058112537,686.117344661141,999,999,2606046,1700369268.81
"women's clothing","Western Wear",3.77228131244763,0.723138580903653,3.8,4,141.317540127621,541.155034165756,15,4,631.896713079346,441.782500492018,511,499,1605.52211242183,919.951883894534,1403,999,2192259,1190514508.81
"women's shoes","Ballerinas",3.54192825112108,1.05129769108943,3.7,5,77.5134529147983,470.851123729665,5,5,2556.30132286995,4353.33027261275,692.5,599,3204.70959641256,4496.96908425942,1299,999,34571,267572438.95
"women's shoes","Fashion Sandals",3.60891514500537,0.94886236597627,3.7,5,49.0171858216976,199.473871749614,7,5,928.023447905478,925.505929121102,659,499,1628.95106337272,1189.77855428134,1299,999,45635,34309906.8
"women's shoes","Shoes",3.77059659090909,0.700767524626005,3.8,4,333.381392045462,1894.21693988478,17.5,4,1061.552265625,1357.45634853424,599,499,1851.38991477272,2010.30202710501,999,999,469401,467151361.98
